file_name,VAE_Cluster,PCA_Cluster
song_001.wav,1,2
song_002.wav,0,4
song_003.wav,1,3
song_004.wav,3,1
song_005.wav,1,4
song_006.wav,0,2
song_007.wav,3,4
song_008.wav,1,2
song_009.wav,1,1
song_010.wav,2,3
song_011.wav,3,3
song_012.wav,1,2
song_013.wav,0,1
song_014.wav,4,0
song_015.wav,4,4
song_016.wav,1,2
song_017.wav,1,1
song_018.wav,0,4
song_019.wav,3,1
song_020.wav,3,1
song_021.wav,2,0
song_022.wav,3,1
song_023.wav,3,2
song_024.wav,2,4
song_025.wav,2,1
song_026.wav,0,4
song_027.wav,3,4
song_028.wav,1,2
song_029.wav,0,0
song_030.wav,0,0
song_031.wav,2,4
song_032.wav,4,2
song_033.wav,1,1
song_034.wav,2,4
song_035.wav,2,4
song_036.wav,0,3
song_037.wav,0,0
song_038.wav,2,0
song_039.wav,3,2
song_040.wav,3,4
song_041.wav,4,4
song_042.wav,4,4
song_043.wav,0,2
song_044.wav,3,3
song_045.wav,1,1
song_046.wav,0,4
song_047.wav,1,2
song_048.wav,0,2
song_049.wav,1,4
song_050.wav,3,4
song_051.wav,4,1
song_052.wav,3,4
song_053.wav,1,4
song_054.wav,0,1
song_055.wav,0,4
song_056.wav,4,1
song_057.wav,0,0
song_058.wav,2,4
song_059.wav,3,3
song_060.wav,3,2
song_061.wav,1,2
song_062.wav,2,4
song_063.wav,3,2
song_064.wav,3,2
song_065.wav,2,4
song_066.wav,0,1
song_067.wav,1,1
song_068.wav,3,4
song_069.wav,2,1
song_070.wav,1,2
song_071.wav,1,2
song_072.wav,4,3
song_073.wav,3,3
song_074.wav,4,1
song_075.wav,0,3
song_076.wav,2,4
song_077.wav,4,1
song_078.wav,3,1
song_079.wav,3,0
song_080.wav,3,3
song_081.wav,3,1
song_082.wav,0,4
song_083.wav,3,3
song_084.wav,3,1
song_085.wav,3,2
song_086.wav,2,1
song_087.wav,2,2
song_088.wav,0,1
song_089.wav,1,0
song_090.wav,4,1
song_091.wav,2,2
song_092.wav,3,4
song_093.wav,1,4
song_094.wav,3,0
song_095.wav,3,2
song_096.wav,1,1
song_097.wav,0,3
song_098.wav,0,0
song_099.wav,2,1
song_100.wav,3,4
